"county","bf_acreage","county_lower","county_name","countyfip","infant_pop","num_child_tested","per_child_tested","num_highlead","per_highlead_h","acstotpop","acsipovbas","acseducbas","acstothh","acstothu","minorpop","minorpct","lowincome","lowincpct","lesshs","lesshspct","lingiso","lingisopct","under5","under5pct","over64","over64pct","pre1960","pre1960pct","vuleopct","vuleo","dispeo","dslpm","cancer_h","ptraf","pwdis","pnpl","prmp","ptsdf","ozone","pm25_h","region","arealand","areawater","npl_cnt","tsdf_cnt","shape_length","shape_area","county.y"
"Mecklenburg",9324.31,"mecklenburg","MECKLENBURG",37119,86703,9005,0.104,53,0.006,1873.74117647059,1839.20588235294,1247.37352941176,728.15,793.738235294118,1076.09117647059,0.553031911343124,594.597058823529,0.335767490147953,135.023529411765,0.114401583767739,35.3088235294118,0.0458320888952446,130.305882352941,0.0664004441629602,179.273529411765,0.102730438804735,106.805882352941,0.176942976092805,0.444399700745539,839.358523467367,175.677290403555,0.651367132320588,42.0693318296691,757.050836832177,0.00618753866904312,0.0624774047757973,0.970137540520804,3.76222502260038,45.667197260669,9.09893035858179,4,2514373.51764706,156563.979411765,0,0.220588235294118,8547.4461270457,4015046.6639025,"mecklenburg"
"Montgomery",3.55,"montgomery","MONTGOMERY",37123,1863,616,0.331,8,0.013,1219.5,1201.75,801.75,452.5,758.75,391.75,0.30467162654961,532.125,0.421404930190735,176.875,0.22370823502643,10.875,0.0246419310930465,81.125,0.0607371606906716,238.75,0.205048733653466,164.875,0.307126515443091,0.363038278370172,464.371095391793,32.4228231945391,0.180852320041012,33.9029695515542,14.9690011880002,0.00157668242918238,0.0258690675204471,0.573544370958602,0.0814860563456151,42.3008375,7.50218662328767,4,53275211.375,1954011.375,0,0,46408.8064152515,83130603.3244967,"montgomery"
"Moore",59.43,"moore","MOORE",37125,6800,1756,0.258,7,0.004,1774.6,1749,1218,625.8,731.4,441.2,0.254064607066129,520.2,0.333597394083976,99.2,0.0953985749240678,7.6,0.0150639866196254,83,0.0476922046752516,343,0.19194374465768,96.4,0.126229329643955,0.293831000575052,485.38823413801,-143.17708266498,0.19373761442448,34.9967218151988,33.587671594016,0.0047980409775286,0.793073439622546,0.236938799846312,0.421633097815517,42.2925243137255,7.85752769315068,4,26874176.6,94380.6,0.4,0.2,27069.6798769856,40571389.2668984,"moore"
"Nash",382.28,"nash","NASH",37127,6455,1823,0.282,15,0.008,1321.46511627907,1300.55813953488,903.395348837209,529.418604651163,621.279069767442,744.883720930233,0.58298613911304,493.674418604651,0.408628236590576,139.116279069767,0.167752294131744,6.65116279069767,0.0138172188979693,80.6976744186046,0.0568109281901701,232.255813953488,0.185682521619276,129.46511627907,0.236072435491237,0.495807187851808,622.920770477106,154.856339361332,0.289698521593288,31.4238511349599,217.590952631309,0.0187487404100345,0.0134568845467919,0.624673618757707,1.0023731487797,41.3962300501596,8.04951303599873,4,14405668.2325581,104727.325581395,0,0.186046511627907,19798.9729013551,22196775.3637335,"nash"
"New Hanover",1594.16,"new hanover","NEW HANOVER",37129,13861,1463,0.106,17,0.012,1669.75,1631.63461538462,1199.98076923077,732.538461538462,859.115384615385,519.730769230769,0.338658221844682,658.961538461538,0.419518046281015,100.192307692308,0.0893957179524882,9.46153846153846,0.0110621566218782,90.6730769230769,0.0545613578858137,293,0.171805758496464,201.615384615385,0.319107234491266,0.379088134062849,598.784058340107,7.35672951569998,0.384190208786538,29.6166273940155,507.755460847095,0.0382352470430225,0.171395273367611,0.653923501086074,2.94224265619332,37.2436954751131,6.86415929135933,4,5443786.17307692,928521.903846154,0.0192307692307692,0.307692307692308,12248.6786744743,9347918.25091114,"new hanover"
"Orange",137.17,"orange","ORANGE",37135,8202,1023,0.125,6,0.006,2177.66666666667,2168.66666666667,1520.16666666667,815.166666666667,873.333333333333,598.666666666667,0.276454727447798,522.166666666667,0.240397255835939,137.5,0.0941702076493995,3,0.00241511391991783,158.333333333333,0.0656736523039173,336.333333333333,0.14581376274063,96.3333333333333,0.122262475702792,0.258425991641869,561.369613790671,-209.962369881505,0.334582645452867,33.7687525580967,128.24097670461,0.00198452975452533,0.0244579585711785,0.286159037428663,0.404061048438767,43.0230055555556,8.42553994977169,4,30615776.1666667,196284.666666667,0,0.166666666666667,34306.4518583502,47222601.7328252,"orange"
"Pitt",82.48,"pitt","PITT",37147,12557,2280,0.182,15,0.007,1799.07692307692,1672.32692307692,990.192307692308,667.980769230769,769.730769230769,880.557692307692,0.482271474893824,865.134615384615,0.542713127913199,127.076923076923,0.127980995908181,9.5,0.0113649509381358,100.096153846154,0.0507785682665288,213.211538461538,0.131083191179903,100.884615384615,0.190826825159898,0.512492301403512,900.766521607548,263.53145110896,0.264911678071935,29.3579915791687,343.642657309393,0.0055040435829536,0.038345984937104,0.404801818683931,1.83077159794895,40.7179408622423,7.63407637513172,4,16647444.75,133835.923076923,0,0.230769230769231,20596.2671753503,25465707.7479907,"pitt"
"Randolph",106.27,"randolph","RANDOLPH",37151,9864,2197,0.223,8,0.004,1821.96296296296,1793.66666666667,1238.48148148148,708.648148148148,787.611111111111,431.444444444444,0.244925179164805,766.703703703704,0.439701282702981,239.777777777778,0.20205525783928,19.7962962962963,0.029973725040172,110.092592592593,0.0598274968657008,297.055555555556,0.169762959748654,148.388888888889,0.212677357147151,0.342313230933893,606.397654873012,-38.9436767048804,0.256728051121996,34.4486870599698,160.475281097534,3.17511085967118,0.0155162393000701,0.377744862225107,0.78384778746921,44.0287845679012,8.0398987376966,4,24696798.537037,329361.574074074,0,0.111111111111111,28174.9236278937,38031826.9628427,"randolph"
"Robeson",605.14,"robeson","ROBESON",37155,10746,1374,0.128,14,0.01,1477.38983050847,1446.13559322034,951.169491525424,506.627118644068,586.35593220339,1093.67796610169,0.718655115694404,809.338983050847,0.568179871135899,225.983050847458,0.235939655301669,11.3220338983051,0.0244053209386367,100.457627118644,0.0711707927609309,201.203389830508,0.141049915590575,107.593220338983,0.21303521775918,0.643417493415152,961.32426953763,438.031129193285,0.23299525477648,32.7388388715159,146.409717885384,0.00217299486677475,0.0247687157376385,0.721129019789952,0.373855747955976,40.7702024814446,8.09907555142791,4,25286209.4745763,59653.0169491525,0,0.0677966101694915,29661.0637007467,37554812.5740975,"robeson"
"Rockingham",NA,"rockingham","ROCKINGHAM",37157,5709,874,0.153,8,0.009,1302.21052631579,1285,935.736842105263,537.263157894737,631.789473684211,352.342105263158,0.250299255517649,535.631578947368,0.412590068958919,157.052631578947,0.167519739237012,2.02631578947368,0.00371851015459803,64.1842105263158,0.0479269448476472,253.184210526316,0.205284913583284,206.921052631579,0.330008992186085,0.331444662238284,447.646989130612,-13.5974445546533,0.213764421986579,31.6258776253806,44.4962548588628,0.0557585730551595,0.0224749987499489,0.586477364068001,0.516819482326903,43.3217558995528,7.90477170944485,4,20905793.6578947,294516.5,0,0.105263157894737,27289.0508259457,32802915.0512675,"rockingham"
"Rowan",734.12,"rowan","ROWAN",37159,9871,1281,0.13,21,0.016,1399.23913043478,1337.47826086957,948.913043478261,528.826086956522,624.717391304348,492.608695652174,0.387019580109265,534.282608695652,0.413050648650938,122.5,0.143890761017182,5.6304347826087,0.0135671132338325,76.804347826087,0.0534917100654989,239.04347826087,0.1713865342802,182.739130434783,0.325760172302089,0.400035114380102,527.049653500435,31.4375790583753,0.376643779304957,36.7670013097467,194.710644021923,0.00232715531373424,0.115690205852469,0.731868622041457,1.00091205792419,45.76288647343,8.56526317391304,4,15853485.3913043,460372.47826087,0,0.130434782608696,19231.2495990324,24777808.2774186,"rowan"
"Sampson",36.91,"sampson","SAMPSON",37163,4881,1252,0.257,7,0.006,1301.1,1269.9,884.1,495.75,563.5,753.15,0.578422037302647,647.1,0.510293534035427,212.05,0.232413297368621,25.55,0.0486458759607,90.1,0.067801306557032,234.15,0.188100508849365,118.7,0.235539449174036,0.544357785669037,708.264811153471,247.413727138837,0.169250352237115,30.8387423529196,117.607413324797,0.00271098505938385,0.0220312057860328,0.601669057355147,0.47767780902536,40.2751881699346,8.07273339726027,4,30893372.7,101193.85,0,0.05,29311.5802861577,46257915.7969994,"sampson"
"Stanly",18.93,"stanly","STANLY",37167,4166,1139,0.273,10,0.009,1151.75757575758,1094.09090909091,797.787878787879,444.69696969697,533.242424242424,293.878787878788,0.259780324677149,449.69696969697,0.42227957948063,115,0.152235827328419,2.24242424242424,0.00428266514507979,71.4848484848485,0.0580188016060075,217.909090909091,0.190655601287674,180.424242424242,0.368415814000216,0.341029952078889,383.118165624492,-24.8356636814381,0.260567741363761,40.1651601722702,110.963148984033,0.300538950199964,0.0262890701975609,0.375469406939943,0.16042248747411,43.8148007130125,8.00041789539228,4,17114916.6969697,721541.939393939,0,0.0606060606060606,22904.6536841644,26856758.944627,"stanly"
"Union",259.295,"union","UNION",37179,16659,2274,0.137,13,0.006,2163.03636363636,2115.65454545455,1371.89090909091,730.945454545455,772.454545454545,791.872727272727,0.383217294913775,675.145454545455,0.348104329842174,192.672727272727,0.160811976760254,27.0181818181818,0.0439450036549737,143.745454545455,0.0647669787589314,271.236363636364,0.129226019437106,83.3454545454545,0.136851884120677,0.365660812377974,744.224979369928,-21.9249345067078,0.364506595444364,36.8972205690257,131.162469704933,0.481591739402203,0.0458798104510734,0.555611856223609,1.28734423001216,43.8885274628639,8.5902883486924,4,12072156.8545455,138875.854545455,0,0.236363636363636,17814.796392273,18229961.5523115,"union"
"Vance",38.94,"vance","VANCE",37181,3346,312,0.093,14,0.045,2132,2131,1388,794,810,1079,0.506097560975609,815,0.382449554199906,240,0.172910662824207,0,0,130,0.060975609756097,190,0.089118198874296,78,0.096296296296296,0.444273557587757,947.191224777099,192.034425822983,0.1949204793,32.8805410746095,92.9574397515169,1.4695720917e-05,0.056267139332186,0.113204884932394,0.095919980693969,42.4528437908497,8.34969260273973,4,59462522,16201,0,0,49203.4253758786,91525047.858658,"vance"
"Wake",1346.05,"wake","WAKE",37183,81737,10610,0.13,68,0.006,2237.64217252396,2176.05750798722,1491.12779552716,843.456869009585,912.964856230032,953.808306709265,0.393365436950304,559.105431309904,0.271076343459178,115.517571884984,0.0801904616309783,23.9392971246006,0.0283808474704627,139.444089456869,0.057336249998918,246.865814696486,0.125002954904039,75.2555910543131,0.121043480483816,0.332220890204741,765.624619638251,-26.9507556937983,0.452300774085623,36.7461749026613,431.729101322675,0.156875047478308,0.130844591402191,0.213058624293629,2.37145163927636,43.2599440623108,8.93391097728566,4,4372851.69009585,167021.565495208,0.00958466453674121,0.188498402555911,10782.3635858572,6911958.82766666,"wake"
"Wayne",94.46,"wayne","WAYNE",37191,9755,1260,0.129,15,0.012,1541.38235294118,1468.05882352941,988.558823529412,583.382352941176,674.617647058824,854.205882352941,0.585505827088325,776.205882352941,0.541882791167697,185.794117647059,0.198758163431231,27,0.0420332129553846,106.294117647059,0.0628599247266,236.117647058824,0.16222773718641,134.705882352941,0.234504891232633,0.563694309128011,829.410110245241,283.450746450015,0.215032089719335,31.7910899931053,116.433947500518,9.72911874282059e-05,0.012949354818917,0.219552639085386,0.591176524446251,40.9235920415225,8.15692319903304,4,14860748.7941176,210636.441176471,0,0.0588235294117647,22502.6864108883,22679170.6747514,"wayne"
"Wilson",48.38,"wilson","WILSON",37195,5814,1009,0.174,7,0.007,1350.23333333333,1314.03333333333,900.366666666667,530.866666666667,607.433333333333,790.466666666667,0.680524447600793,614.033333333333,0.559803430255124,191.133333333333,0.25724447699075,10.7333333333333,0.0244323578726196,82.3,0.0583881230866397,225.233333333333,0.155405876390458,169.333333333333,0.32530569268009,0.620163938927959,714.132203682823,235.878037716056,0.2602124810517,31.598251960155,263.81212162398,1.29718747506e-05,0.0137934012085038,1.3299314227883,0.523933373448222,41.5588224400871,8.08130244748859,4,11621633.6666667,70853.4666666667,0,0.0666666666666667,16131.9704541093,17777729.7161536,"wilson"
